Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-26758.118806,nan,nan,-0.203,0.125,1.028,nan,nan
-26758.13824,nan,nan,-0.199,0.121,1.032,nan,nan
-26758.157675,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.177109,nan,nan,-0.203,0.113,1.032,nan,nan
-26758.196544,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.215979,nan,nan,-0.199,0.121,1.028,nan,nan
-26758.235413,nan,nan,-0.203,0.117,1.036,nan,nan
-26758.254848,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.274282,nan,nan,-0.207,0.121,1.032,nan,nan
-26758.293717,nan,nan,-0.207,0.113,1.032,nan,nan
-26758.313151,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.332586,nan,nan,-0.199,0.121,1.032,nan,nan
-26758.352021,nan,nan,-0.207,0.117,1.032,nan,nan
-26758.371455,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.39089,nan,nan,-0.207,0.117,1.036,nan,nan
-26758.410324,nan,nan,-0.203,0.117,1.028,nan,nan
-26758.429759,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.449193,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.468628,nan,nan,-0.203,0.117,1.036,nan,nan
-26758.488063,nan,nan,-0.199,0.121,1.032,nan,nan
-26758.507497,nan,nan,-0.207,0.121,1.032,nan,nan
-26758.526932,nan,nan,-0.207,0.121,1.032,nan,nan
-26758.546366,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.565801,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.585235,nan,nan,-0.203,0.117,1.028,nan,nan
-26758.60467,nan,nan,-0.203,0.113,1.036,nan,nan
-26758.624104,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.643539,nan,nan,-0.199,0.117,1.032,nan,nan
-26758.662974,nan,nan,-0.195,0.125,1.036,nan,nan
-26758.682408,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.701843,nan,nan,-0.199,0.121,1.032,nan,nan
-26758.721277,nan,nan,-0.207,0.117,1.032,nan,nan
-26758.740712,nan,nan,-0.199,0.117,1.032,nan,nan
-26758.760146,nan,nan,-0.203,0.117,1.036,nan,nan
-26758.779581,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.799016,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.81845,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.837885,nan,nan,-0.203,0.117,1.036,nan,nan
-26758.857319,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.876754,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.896188,nan,nan,-0.203,0.121,1.032,nan,nan
-26758.915623,nan,nan,-0.207,0.121,1.032,nan,nan
-26758.935058,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.954492,nan,nan,-0.199,0.121,1.036,nan,nan
-26758.973927,nan,nan,-0.203,0.121,1.036,nan,nan
-26758.993361,nan,nan,-0.199,0.121,1.032,nan,nan
-26759.012796,nan,nan,-0.199,0.121,1.032,nan,nan
-26759.03223,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.051665,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.0711,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.090534,nan,nan,-0.199,0.117,1.028,nan,nan
-26759.109969,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.129403,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.148838,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.168272,nan,nan,-0.207,0.113,1.032,nan,nan
-26759.187707,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.207142,nan,nan,-0.203,0.117,1.036,nan,nan
-26759.226576,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.246011,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.265445,nan,nan,-0.199,0.121,1.036,nan,nan
-26759.28488,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.304314,nan,nan,-0.203,0.117,1.036,nan,nan
-26759.323749,nan,nan,-0.199,0.121,1.028,nan,nan
-26759.343184,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.362618,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.382053,nan,nan,-0.199,0.121,1.032,nan,nan
-26759.401487,nan,nan,-0.207,0.121,1.036,nan,nan
-26759.420922,nan,nan,-0.199,0.121,1.036,nan,nan
-26759.440356,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.459791,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.479226,nan,nan,-0.207,0.117,1.032,nan,nan
-26759.49866,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.518095,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.537529,nan,nan,-0.207,0.121,1.036,nan,nan
-26759.556964,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.576398,nan,nan,-0.207,0.121,1.036,nan,nan
-26759.595833,nan,nan,-0.203,0.121,1.036,nan,nan
-26759.615268,nan,nan,-0.203,0.117,1.036,nan,nan
-26759.634702,nan,nan,-0.203,0.121,1.032,nan,nan
-26759.654137,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.673571,nan,nan,-0.203,0.117,1.024,nan,nan
-26759.693006,nan,nan,-0.207,0.121,1.04,nan,nan
-26759.71244,nan,nan,-0.203,0.117,1.028,nan,nan
-26759.731875,nan,nan,-0.203,0.117,1.04,nan,nan
-26759.75131,nan,nan,-0.199,0.121,1.032,nan,nan
-26759.770744,nan,nan,-0.203,0.117,1.028,nan,nan
-26759.790179,nan,nan,-0.203,0.117,1.04,nan,nan
-26759.809613,nan,nan,-0.195,0.125,1.032,nan,nan
-26759.829048,nan,nan,-0.207,0.117,1.036,nan,nan
-26759.848482,nan,nan,-0.203,0.113,1.032,nan,nan
-26759.867917,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.887352,nan,nan,-0.207,0.117,1.028,nan,nan
-26759.906786,nan,nan,-0.199,0.121,1.032,nan,nan
-26759.926221,nan,nan,-0.203,0.117,1.032,nan,nan
-26759.945655,nan,nan,-0.203,0.117,1.036,nan,nan
-26759.96509,nan,nan,-0.207,0.121,1.036,nan,nan
-26759.984524,nan,nan,-0.203,0.117,1.036,nan,nan
-26760.003959,nan,nan,-0.199,0.121,1.032,nan,nan
-26760.023394,nan,nan,-0.207,0.121,1.036,nan,nan
-26760.042828,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.062263,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.081697,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.101132,nan,nan,-0.207,0.121,1.036,nan,nan
-26760.120566,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.140001,nan,nan,-0.207,0.117,1.032,nan,nan
-26760.159436,nan,nan,-0.203,0.121,1.032,nan,nan
