Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55730.808317,nan,nan,0.934,-0.051,0.131,nan,nan
-55730.848862,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.889407,nan,nan,0.938,-0.046,0.127,nan,nan
-55730.929952,nan,nan,0.938,-0.051,0.131,nan,nan
-55730.970497,nan,nan,0.938,-0.042,0.127,nan,nan
-55731.011042,nan,nan,0.942,-0.046,0.131,nan,nan
-55731.051587,nan,nan,0.949,-0.051,0.135,nan,nan
-55731.092132,nan,nan,0.946,-0.051,0.135,nan,nan
-55731.132677,nan,nan,0.938,-0.046,0.135,nan,nan
-55731.173222,nan,nan,0.946,-0.046,0.127,nan,nan
-55731.213767,nan,nan,0.942,-0.051,0.135,nan,nan
-55731.254312,nan,nan,0.938,-0.046,0.135,nan,nan
-55731.294856,nan,nan,0.942,-0.046,0.131,nan,nan
-55731.335401,nan,nan,0.934,-0.051,0.131,nan,nan
-55731.375946,nan,nan,0.942,-0.051,0.127,nan,nan
-55731.416491,nan,nan,0.942,-0.046,0.131,nan,nan
-55731.457036,nan,nan,0.946,-0.046,0.139,nan,nan
-55731.497581,nan,nan,0.946,-0.051,0.139,nan,nan
-55731.538126,nan,nan,0.946,-0.046,0.143,nan,nan
-55731.578671,nan,nan,0.949,-0.046,0.139,nan,nan
-55731.619216,nan,nan,0.942,-0.051,0.127,nan,nan
-55731.659761,nan,nan,0.942,-0.051,0.135,nan,nan
-55731.700306,nan,nan,0.938,-0.051,0.135,nan,nan
-55731.740851,nan,nan,0.946,-0.046,0.131,nan,nan
-55731.781396,nan,nan,0.942,-0.046,0.135,nan,nan
-55731.82194,nan,nan,0.946,-0.051,0.131,nan,nan
-55731.862485,nan,nan,0.938,-0.046,0.135,nan,nan
-55731.90303,nan,nan,0.942,-0.051,0.135,nan,nan
-55731.943575,nan,nan,0.942,-0.046,0.135,nan,nan
-55731.98412,nan,nan,0.942,-0.046,0.131,nan,nan
-55732.024665,nan,nan,0.938,-0.051,0.139,nan,nan
-55732.06521,nan,nan,0.942,-0.055,0.127,nan,nan
-55732.105755,nan,nan,0.938,-0.046,0.127,nan,nan
-55732.1463,nan,nan,0.946,-0.046,0.131,nan,nan
-55732.186845,nan,nan,0.946,-0.051,0.131,nan,nan
-55732.22739,nan,nan,0.946,-0.046,0.135,nan,nan
-55732.267935,nan,nan,0.946,-0.046,0.131,nan,nan
-55732.308479,nan,nan,0.942,-0.051,0.131,nan,nan
-55732.349024,nan,nan,0.946,-0.051,0.131,nan,nan
-55732.389569,nan,nan,0.942,-0.051,0.131,nan,nan
-55732.430114,nan,nan,0.942,-0.051,0.131,nan,nan
-55732.470659,nan,nan,0.942,-0.046,0.135,nan,nan
-55732.511204,nan,nan,0.946,-0.051,0.131,nan,nan
-55732.551749,nan,nan,0.942,-0.051,0.135,nan,nan
-55732.592294,nan,nan,0.938,-0.055,0.127,nan,nan
-55732.632839,nan,nan,0.946,-0.046,0.135,nan,nan
-55732.673384,nan,nan,0.938,-0.055,0.135,nan,nan
